base_cost,shifted_cost,savings,scenario,immediate_rebound,shiftable_hours,area,year
1185301.0,1010955.0,14.708986418194673,scenario3,False,6,DK1,2022
1185301.0,995311.0,16.028866839729123,scenario3,False,7,DK1,2022
1185301.0,983037.0,17.064359285879686,scenario3,False,8,DK1,2022
1185301.0,974570.0,17.77868657176329,scenario3,False,9,DK1,2022
1185301.0,969284.0,18.224646925681018,scenario3,False,10,DK1,2022
1185301.0,966593.0,18.451718086922252,scenario3,False,11,DK1,2022
1185301.0,966593.0,18.451718086922252,scenario3,False,12,DK1,2022
652886.0,626401.0,4.056596775611425,scenario3,True,1,DK2,2021
652886.0,603005.0,7.6401317786785174,scenario3,True,2,DK2,2021
652886.0,582960.0,10.710397867169608,scenario3,True,3,DK2,2021
652886.0,565807.0,13.337661516535057,scenario3,True,4,DK2,2021
652886.0,551355.0,15.551235407014815,scenario3,True,5,DK2,2021
652886.0,539224.0,17.4091884513021,scenario3,True,6,DK2,2021
652886.0,529266.0,18.934457824599207,scenario3,True,7,DK2,2021
652886.0,521264.0,20.160147349012636,scenario3,True,8,DK2,2021
652886.0,515226.0,21.084862429442556,scenario3,True,9,DK2,2021
652886.0,511389.0,21.67256564129401,scenario3,True,10,DK2,2021
652886.0,509589.0,21.948295603307677,scenario3,True,11,DK2,2021
652886.0,509589.0,21.948295603307677,scenario3,True,12,DK2,2021
652886.0,626401.0,4.056596775611425,scenario3,False,1,DK2,2021
652886.0,603005.0,7.6401317786785174,scenario3,False,2,DK2,2021
652886.0,582960.0,10.710397867169608,scenario3,False,3,DK2,2021
652886.0,565807.0,13.337661516535057,scenario3,False,4,DK2,2021
652886.0,551355.0,15.551235407014815,scenario3,False,5,DK2,2021
652886.0,539224.0,17.4091884513021,scenario3,False,6,DK2,2021
652886.0,529266.0,18.934457824599207,scenario3,False,7,DK2,2021
652886.0,521264.0,20.160147349012636,scenario3,False,8,DK2,2021
652886.0,515226.0,21.084862429442556,scenario3,False,9,DK2,2021
652886.0,511389.0,21.67256564129401,scenario3,False,10,DK2,2021
652886.0,509589.0,21.948295603307677,scenario3,False,11,DK2,2021
652886.0,509589.0,21.948295603307677,scenario3,False,12,DK2,2021
1116960.0,1072533.0,3.9774288784043947,scenario3,True,1,DK2,2022
1116960.0,1032804.0,7.534329799311997,scenario3,True,2,DK2,2022
1116960.0,998583.0,10.598120815843577,scenario3,True,3,DK2,2022
1116960.0,969615.0,13.191574502737021,scenario3,True,4,DK2,2022
1116960.0,944526.0,15.437720757068124,scenario3,True,5,DK2,2022
1116960.0,923242.0,17.343312483437728,scenario3,True,6,DK2,2022
1116960.0,905808.0,18.904178100404188,scenario3,True,7,DK2,2022
1116960.0,892196.0,20.12275853181813,scenario3,True,8,DK2,2022
1116960.0,882777.0,20.966075732858915,scenario3,True,9,DK2,2022
1116960.0,876649.0,21.514673922834575,scenario3,True,10,DK2,2022
1116960.0,873714.0,21.7775055930116,scenario3,True,11,DK2,2022
1116960.0,873714.0,21.7775055930116,scenario3,True,12,DK2,2022
1116960.0,1072533.0,3.9774288784043947,scenario3,False,1,DK2,2022
1116960.0,1032804.0,7.534329799311997,scenario3,False,2,DK2,2022
1116960.0,998583.0,10.598120815843577,scenario3,False,3,DK2,2022
1116960.0,969615.0,13.191574502737021,scenario3,False,4,DK2,2022
1116960.0,944526.0,15.437720757068124,scenario3,False,5,DK2,2022
1116960.0,923242.0,17.343312483437728,scenario3,False,6,DK2,2022
1116960.0,905808.0,18.904178100404188,scenario3,False,7,DK2,2022
1116960.0,892196.0,20.12275853181813,scenario3,False,8,DK2,2022
1116960.0,882777.0,20.966075732858915,scenario3,False,9,DK2,2022
1116960.0,876649.0,21.514673922834575,scenario3,False,10,DK2,2022
1116960.0,873714.0,21.7775055930116,scenario3,False,11,DK2,2022
1116960.0,873714.0,21.7775055930116,scenario3,False,12,DK2,2022
